2014.06.11 11:43:16;0;START
2014.06.11 11:43:19;3;2;lines(17) 
2014.06.11 11:43:20;4;1;lines(17) 
2014.06.11 11:43:22;6;1;lines(18) 
2014.06.11 11:43:22;6;2;lines(18) 
2014.06.11 11:43:25;9;2;lines(15) 
2014.06.11 11:43:26;10;1;lines(17) 
2014.06.11 11:43:29;13;2;lines(17) 
2014.06.11 11:43:29;13;1;lines(16) 
2014.06.11 11:43:32;16;2;lines(15) 
2014.06.11 11:43:32;16;1;lines(16) 
2014.06.11 11:43:33;17;2;lines(16) 
2014.06.11 11:43:34;18;1;lines(15) 
2014.06.11 11:43:34;18;1;drop(1) 
2014.06.11 11:43:35;19;2;lines(15) 
2014.06.11 11:43:37;21;2;lines(14) 
2014.06.11 11:43:38;22;1;lines(17) 
2014.06.11 11:43:40;24;2;lines(13) 
2014.06.11 11:43:41;25;1;lines(16) 
2014.06.11 11:43:43;27;2;lines(16) 
2014.06.11 11:43:44;28;1;lines(15) 
2014.06.11 11:43:46;30;2;lines(14) 
2014.06.11 11:43:46;30;2;drop(1) 
2014.06.11 11:43:47;31;1;lines(16) 
2014.06.11 11:43:48;32;2;lines(14) 
2014.06.11 11:43:48;32;2;drop(1) 
2014.06.11 11:43:50;34;1;lines(15) 
2014.06.11 11:43:50;34;1;drop(2) 
2014.06.11 11:43:50;34;1;send(2) 
2014.06.11 11:43:51;35;2;lines(11) 
2014.06.11 11:43:53;37;2;lines(11) 
2014.06.11 11:43:54;38;1;lines(16) 
2014.06.11 11:43:54;38;1;drop(1) 
2014.06.11 11:43:55;39;2;lines(11) 
2014.06.11 11:43:57;41;2;lines(12) 
2014.06.11 11:43:57;41;1;lines(17) 
2014.06.11 11:43:59;43;2;lines(10) 
2014.06.11 11:44:00;44;1;lines(15) 
2014.06.11 11:44:01;45;2;lines(10) 
2014.06.11 11:44:03;47;2;lines(10) 
2014.06.11 11:44:03;47;1;lines(16) 
2014.06.11 11:44:05;49;2;lines(10) 
2014.06.11 11:44:06;50;2;lines(8) 
2014.06.11 11:44:07;51;1;lines(16) 
2014.06.11 11:44:08;52;2;lines(7) 
2014.06.11 11:44:10;54;1;lines(15) 
2014.06.11 11:44:10;54;2;lines(7) 
2014.06.11 11:44:11;55;2;lines(6) 
2014.06.11 11:44:12;56;1;lines(13) 
2014.06.11 11:44:13;57;2;lines(8) 
2014.06.11 11:44:13;57;2;drop(1) 
2014.06.11 11:44:15;59;2;lines(11) 
2014.06.11 11:44:15;59;1;lines(14) 
2014.06.11 11:44:17;61;2;lines(8) 
2014.06.11 11:44:18;62;2;lines(7) 
2014.06.11 11:44:19;63;1;lines(16) 
2014.06.11 11:44:19;63;1;drop(1) 
2014.06.11 11:44:19;63;2;lines(5) 
2014.06.11 11:44:21;65;2;lines(8) 
2014.06.11 11:44:21;65;2;drop(2) 
2014.06.11 11:44:21;65;2;send(2) 
2014.06.11 11:44:21;65;1;lines(12) 
2014.06.11 11:44:23;67;2;lines(7) 
2014.06.11 11:44:24;68;1;lines(12) 
2014.06.11 11:44:24;68;2;lines(7) 
2014.06.11 11:44:26;70;2;lines(8) 
2014.06.11 11:44:26;70;1;lines(11) 
2014.06.11 11:44:27;71;2;lines(7) 
2014.06.11 11:44:27;71;2;drop(1) 
2014.06.11 11:44:28;72;1;lines(9) 
2014.06.11 11:44:29;73;2;lines(6) 
2014.06.11 11:44:30;74;1;lines(10) 
2014.06.11 11:44:30;74;2;lines(6) 
2014.06.11 11:44:32;76;1;lines(14) 
2014.06.11 11:44:32;76;1;drop(3) 
2014.06.11 11:44:32;76;1;send(3) 
2014.06.11 11:44:32;76;2;lines(4) 
2014.06.11 11:44:33;77;2;lines(2) 
2014.06.11 11:44:34;78;2;lines(3) 
2014.06.11 11:44:35;79;2;lines(0) 
2014.06.11 11:44:35;79;2;lines(-2) 
########
2014-06-11 11:43:16
2014-06-11 11:44:35
79
