2014.06.11 10:33:09;0;START
2014.06.11 10:33:11;2;2;lines(16)
2014.06.11 10:33:12;3;1;lines(16)
2014.06.11 10:33:13;4;2;lines(18)
2014.06.11 10:33:14;5;2;lines(17)
2014.06.11 10:33:15;6;2;lines(18)
2014.06.11 10:33:16;7;1;lines(18)
2014.06.11 10:33:16;7;2;lines(15)
2014.06.11 10:33:17;8;1;lines(17)
2014.06.11 10:33:18;9;2;lines(15)
2014.06.11 10:33:19;10;2;lines(15)
2014.06.11 10:33:21;12;2;lines(13)
2014.06.11 10:33:21;12;1;lines(18)
2014.06.11 10:33:23;14;1;lines(15)
2014.06.11 10:33:24;15;2;lines(15)
2014.06.11 10:33:25;16;1;lines(15)
2014.06.11 10:33:26;17;2;lines(13)
2014.06.11 10:33:28;19;1;lines(14)
2014.06.11 10:33:29;20;2;lines(15)
2014.06.11 10:33:29;20;2;drop(1)
2014.06.11 10:33:29;20;1;lines(15)
2014.06.11 10:33:30;21;2;lines(13)
2014.06.11 10:33:31;22;2;lines(14)
2014.06.11 10:33:32;23;1;lines(15)
2014.06.11 10:33:34;25;2;lines(12)
2014.06.11 10:33:35;26;1;lines(11)
2014.06.11 10:33:36;27;2;lines(15)
2014.06.11 10:33:36;27;2;drop(1)
2014.06.11 10:33:37;28;1;lines(14)
2014.06.11 10:33:38;29;2;lines(14)
2014.06.11 10:33:39;30;2;lines(13)
2014.06.11 10:33:39;30;2;drop(1)
2014.06.11 10:33:39;30;1;lines(12)
2014.06.11 10:33:40;31;2;lines(13)
2014.06.11 10:33:41;32;1;lines(12)
2014.06.11 10:33:41;32;2;lines(13)
2014.06.11 10:33:43;34;2;lines(14)
2014.06.11 10:33:43;34;2;drop(1)
2014.06.11 10:33:43;34;1;lines(13)
2014.06.11 10:33:44;35;2;lines(14)
2014.06.11 10:33:44;35;2;drop(1)
2014.06.11 10:33:45;36;2;lines(12)
2014.06.11 10:33:46;37;1;lines(11)
2014.06.11 10:33:48;39;2;lines(14)
2014.06.11 10:33:48;39;1;lines(12)
2014.06.11 10:33:49;40;2;lines(12)
2014.06.11 10:33:49;40;1;lines(10)
2014.06.11 10:33:50;41;2;lines(14)
2014.06.11 10:33:50;41;2;drop(1)
2014.06.11 10:33:51;42;1;lines(10)
2014.06.11 10:33:52;43;2;lines(11)
2014.06.11 10:33:52;43;1;lines(9)
2014.06.11 10:33:52;43;1;drop(1)
2014.06.11 10:33:53;44;2;lines(15)
2014.06.11 10:33:53;44;2;drop(2)
2014.06.11 10:33:53;44;2;send(2)
2014.06.11 10:33:54;45;1;lines(5)
2014.06.11 10:33:55;46;2;lines(16)
2014.06.11 10:33:55;46;1;lines(8)
2014.06.11 10:33:56;47;2;lines(14)
2014.06.11 10:33:57;48;1;lines(7)
2014.06.11 10:33:58;49;2;lines(14)
2014.06.11 10:33:59;50;1;lines(7)
2014.06.11 10:33:59;50;1;lines(2)
2014.06.11 10:34:01;52;2;lines(15)
2014.06.11 10:34:01;52;1;lines(8)
2014.06.11 10:34:01;52;1;lines(0)
2014.06.11 10:34:03;54;1;lines(6)
2014.06.11 10:34:03;54;1;lines(-2)
########
2014-06-11 10:33:09
2014-06-11 10:34:03
54
