2014.06.14 12:20:19;0;START
2014.06.14 12:20:21;2;1;lines(17)
2014.06.14 12:20:21;2;2;lines(17)
2014.06.14 12:20:23;4;2;lines(17)
2014.06.14 12:20:24;5;1;lines(17)
2014.06.14 12:20:24;5;2;lines(17)
2014.06.14 12:20:25;6;1;lines(17)
2014.06.14 12:20:26;7;2;lines(18)
2014.06.14 12:20:26;7;2;drop(1)
2014.06.14 12:20:28;9;1;lines(18)
2014.06.14 12:20:28;9;1;drop(1)
2014.06.14 12:20:28;9;2;lines(16)
2014.06.14 12:20:30;11;1;lines(16)
2014.06.14 12:20:31;12;2;lines(17)
2014.06.14 12:20:32;13;1;lines(18)
2014.06.14 12:20:32;13;1;drop(1)
2014.06.14 12:20:34;15;2;lines(15)
2014.06.14 12:20:35;16;1;lines(17)
2014.06.14 12:20:37;18;2;lines(16)
2014.06.14 12:20:37;18;1;lines(16)
2014.06.14 12:20:39;20;2;lines(17)
2014.06.14 12:20:39;20;2;drop(1)
2014.06.14 12:20:40;21;1;lines(18)
2014.06.14 12:20:40;21;1;drop(1)
2014.06.14 12:20:42;23;2;lines(15)
2014.06.14 12:20:42;23;1;lines(17)
2014.06.14 12:20:44;25;2;lines(16)
2014.06.14 12:20:44;25;2;drop(1)
2014.06.14 12:20:45;26;1;lines(16)
2014.06.14 12:20:47;28;1;lines(16)
2014.06.14 12:20:48;29;2;lines(17)
2014.06.14 12:20:49;30;2;lines(16)
2014.06.14 12:20:49;30;1;lines(16)
2014.06.14 12:20:51;32;2;lines(16)
2014.06.14 12:20:51;32;1;lines(16)
2014.06.14 12:20:52;33;2;lines(15)
2014.06.14 12:20:52;33;2;drop(1)
2014.06.14 12:20:54;35;1;lines(16)
2014.06.14 12:20:54;35;1;drop(1)
2014.06.14 12:20:55;36;2;lines(17)
2014.06.14 12:20:56;37;2;lines(15)
2014.06.14 12:20:56;37;2;drop(1)
2014.06.14 12:20:57;38;1;lines(16)
2014.06.14 12:20:58;39;2;lines(16)
2014.06.14 12:20:59;40;1;lines(16)
2014.06.14 12:20:59;40;1;drop(1)
2014.06.14 12:21:00;41;2;lines(16)
2014.06.14 12:21:02;43;1;lines(15)
2014.06.14 12:21:03;44;2;lines(14)
2014.06.14 12:21:04;45;1;lines(17)
2014.06.14 12:21:04;45;1;drop(1)
2014.06.14 12:21:05;46;2;lines(16)
2014.06.14 12:21:05;46;2;drop(1)
2014.06.14 12:21:06;47;1;lines(17)
2014.06.14 12:21:08;49;2;lines(16)
2014.06.14 12:21:09;50;1;lines(16)
2014.06.14 12:21:10;51;2;lines(14)
2014.06.14 12:21:12;53;1;lines(14)
2014.06.14 12:21:12;53;2;lines(15)
2014.06.14 12:21:13;54;1;lines(15)
2014.06.14 12:21:14;55;2;lines(14)
2014.06.14 12:21:15;56;1;lines(13)
2014.06.14 12:21:16;57;2;lines(13)
2014.06.14 12:21:16;57;2;drop(1)
2014.06.14 12:21:17;58;1;lines(16)
2014.06.14 12:21:17;58;1;drop(2)
2014.06.14 12:21:17;58;1;send(2)
2014.06.14 12:21:18;59;2;lines(12)
2014.06.14 12:21:19;60;1;lines(16)
2014.06.14 12:21:19;60;1;drop(1)
2014.06.14 12:21:20;61;2;lines(9)
2014.06.14 12:21:21;62;2;lines(11)
2014.06.14 12:21:22;63;1;lines(17)
2014.06.14 12:21:23;64;2;lines(10)
2014.06.14 12:21:24;65;1;lines(16)
2014.06.14 12:21:26;67;2;lines(11)
2014.06.14 12:21:27;68;1;lines(15)
2014.06.14 12:21:27;68;2;lines(11)
2014.06.14 12:21:29;70;1;lines(16)
2014.06.14 12:21:29;70;1;drop(1)
2014.06.14 12:21:29;70;1;level(3)
2014.06.14 12:21:29;70;2;lines(10)
2014.06.14 12:21:31;72;2;lines(10)
2014.06.14 12:21:31;72;2;drop(1)
2014.06.14 12:21:31;72;1;lines(16)
2014.06.14 12:21:33;74;2;lines(9)
2014.06.14 12:21:34;75;1;lines(16)
2014.06.14 12:21:35;76;2;lines(9)
2014.06.14 12:21:36;77;1;lines(15)
2014.06.14 12:21:37;78;2;lines(8)
2014.06.14 12:21:37;78;1;lines(16)
2014.06.14 12:21:37;78;1;drop(2)
2014.06.14 12:21:37;78;1;send(2)
2014.06.14 12:21:39;80;2;lines(6)
2014.06.14 12:21:40;81;1;lines(16)
2014.06.14 12:21:40;81;2;lines(7)
2014.06.14 12:21:40;81;2;drop(1)
2014.06.14 12:21:41;82;1;lines(16)
2014.06.14 12:21:42;83;2;lines(5)
2014.06.14 12:21:43;84;1;lines(14)
2014.06.14 12:21:43;84;2;lines(5)
2014.06.14 12:21:45;86;2;lines(6)
2014.06.14 12:21:46;87;1;lines(16)
2014.06.14 12:21:46;87;1;drop(1)
2014.06.14 12:21:47;88;2;lines(6)
2014.06.14 12:21:48;89;2;lines(4)
2014.06.14 12:21:48;89;1;lines(15)
2014.06.14 12:21:48;89;1;drop(1)
2014.06.14 12:21:49;90;2;lines(4)
2014.06.14 12:21:49;90;2;drop(1)
2014.06.14 12:21:49;90;2;level(3)
2014.06.14 12:21:50;91;2;lines(4)
2014.06.14 12:21:51;92;2;lines(2)
2014.06.14 12:21:51;92;1;lines(16)
2014.06.14 12:21:51;92;2;lines(0)
2014.06.14 12:21:51;92;2;lines(-1)
2014.06.14 12:21:51;92;2;lines(-3)
########
2014-06-14 12:20:19
2014-06-14 12:21:51
92
