2014.06.11 10:27:18;0;START
2014.06.11 10:27:20;2;2;lines(18)
2014.06.11 10:27:20;2;1;lines(18)
2014.06.11 10:27:21;3;2;lines(17)
2014.06.11 10:27:22;4;1;lines(16)
2014.06.11 10:27:22;4;2;lines(17)
2014.06.11 10:27:23;5;1;lines(17)
2014.06.11 10:27:23;5;2;lines(16)
2014.06.11 10:27:23;5;2;drop(1)
2014.06.11 10:27:24;6;2;lines(17)
2014.06.11 10:27:25;7;1;lines(15)
2014.06.11 10:27:26;8;2;lines(17)
2014.06.11 10:27:28;10;2;lines(16)
2014.06.11 10:27:28;10;2;drop(1)
2014.06.11 10:27:28;10;1;lines(13)
2014.06.11 10:27:30;12;2;lines(17)
2014.06.11 10:27:31;13;1;lines(16)
2014.06.11 10:27:32;14;2;lines(17)
2014.06.11 10:27:33;15;2;lines(16)
2014.06.11 10:27:34;16;1;lines(16)
2014.06.11 10:27:35;17;2;lines(14)
2014.06.11 10:27:37;19;2;lines(16)
2014.06.11 10:27:37;19;2;drop(1)
2014.06.11 10:27:37;19;1;lines(13)
2014.06.11 10:27:38;20;2;lines(17)
2014.06.11 10:27:38;20;2;drop(1)
2014.06.11 10:27:39;21;2;lines(17)
2014.06.11 10:27:39;21;2;drop(1)
2014.06.11 10:27:40;22;1;lines(16)
2014.06.11 10:27:41;23;2;lines(17)
2014.06.11 10:27:42;24;1;lines(9)
2014.06.11 10:27:43;25;2;lines(17)
2014.06.11 10:27:44;26;2;lines(15)
2014.06.11 10:27:45;27;1;lines(12)
2014.06.11 10:27:46;28;2;lines(16)
2014.06.11 10:27:46;28;2;drop(1)
2014.06.11 10:27:47;29;2;lines(17)
2014.06.11 10:27:47;29;1;lines(14)
2014.06.11 10:27:49;31;2;lines(16)
2014.06.11 10:27:50;32;1;lines(12)
2014.06.11 10:27:51;33;2;lines(17)
2014.06.11 10:27:51;33;2;drop(1)
2014.06.11 10:27:52;34;1;lines(10)
2014.06.11 10:27:53;35;2;lines(15)
2014.06.11 10:27:54;36;1;lines(13)
2014.06.11 10:27:55;37;2;lines(15)
2014.06.11 10:27:56;38;2;lines(14)
2014.06.11 10:27:56;38;1;lines(9)
2014.06.11 10:27:58;40;2;lines(17)
2014.06.11 10:28:00;42;1;lines(16)
2014.06.11 10:28:00;42;2;lines(14)
2014.06.11 10:28:02;44;1;lines(9)
2014.06.11 10:28:03;45;2;lines(16)
2014.06.11 10:28:03;45;2;drop(1)
2014.06.11 10:28:04;46;1;lines(8)
2014.06.11 10:28:05;47;2;lines(15)
2014.06.11 10:28:05;47;2;drop(1)
2014.06.11 10:28:05;47;1;lines(6)
2014.06.11 10:28:07;49;2;lines(16)
2014.06.11 10:28:07;49;1;lines(13)
2014.06.11 10:28:08;50;1;lines(4)
2014.06.11 10:28:09;51;2;lines(15)
2014.06.11 10:28:10;52;1;lines(5)
2014.06.11 10:28:11;53;2;lines(12)
2014.06.11 10:28:11;53;1;lines(6)
2014.06.11 10:28:12;54;1;lines(4)
2014.06.11 10:28:13;55;2;lines(15)
2014.06.11 10:28:14;56;1;lines(3)
2014.06.11 10:28:14;56;1;lines(2)
2014.06.11 10:28:15;57;1;lines(-1)
2014.06.11 10:28:15;57;2;lines(15)
2014.06.11 10:28:15;57;2;drop(1)
2014.06.11 10:28:15;57;2;level(3)
2014.06.11 10:28:15;57;1;lines(0)
2014.06.11 10:28:16;58;1;lines(3)
2014.06.11 10:28:17;59;1;lines(0)
2014.06.11 10:28:17;59;2;lines(13)
2014.06.11 10:28:17;59;1;lines(-1)
2014.06.11 10:28:17;59;1;lines(-3)
########
2014-06-11 10:27:18
2014-06-11 10:28:17
59
