Czas,A: BVP1,B: BVP2,C: EMG1,D: EMG2,E: Skin Cond,F: Temp1,G: Abd Resp,H: Thor Resp,I: Temp2,SC-Pro/Flex - 1J,Draw-1,Lose-1,Win-1,Draw-2,Lose-2,Win-2
2.0,33.505,32.455,9.5,20.775,1.296,33.376,11.145,21.809,32.327,1.58,1,0,0,1,0,0
2.00390625,33.477,32.394,8.619,20.102,1.296,33.376,11.148,21.803,32.327,1.58,1,0,0,1,0,0
2.0078125,33.457,32.333,8.36,19.169,1.296,33.376,11.15,21.798000000000002,32.327,1.579,1,0,0,1,0,0
2.01171875,33.448,32.273,9.344,18.185,1.296,33.376,11.152000000000001,21.791999999999998,32.327,1.579,1,0,0,1,0,0
2.015625,33.452,32.214,11.364,16.891,1.296,33.376999999999995,11.154000000000002,21.785999999999998,32.327,1.58,1,0,0,1,0,0
2.01953125,33.471,32.155,12.347999999999999,16.58,1.296,33.376,11.155999999999999,21.781,32.327,1.58,1,0,0,1,0,0
2.0234375,33.508,32.097,12.296,23.002,1.296,33.376999999999995,11.157,21.776,32.327,1.58,1,0,0,1,0,0
2.02734375,33.565,32.041,11.52,26.99,1.296,33.376,11.159,21.77,32.327,1.579,1,0,0,1,0,0
2.03125,33.645,31.985,10.587,32.272,1.296,33.376,11.161,21.765,32.327,1.579,1,0,0,1,0,0
2.03515625,33.75,31.932,9.862,41.077,1.296,33.376,11.162,21.76,32.327,1.579,1,0,0,1,0,0
2.0390625,33.882,31.88,9.707,44.65,1.296,33.376,11.164000000000001,21.755,32.327,1.579,1,0,0,1,0,0
2.04296875,34.041,31.83,9.396,43.303999999999995,1.295,33.376,11.165,21.75,32.327,1.579,1,0,0,1,0,0
2.046875,34.23,31.781,8.93,37.71,1.295,33.376,11.165999999999999,21.745,32.327,1.579,1,0,0,1,0,0
2.05078125,34.449,31.733,8.567,32.065,1.295,33.376,11.168,21.741,32.327,1.579,1,0,0,1,0,0
2.0546875,34.695,31.686999999999998,8.567,27.715,1.295,33.376,11.169,21.736,32.327,1.579,1,0,0,1,0,0
2.05859375,34.97,31.641,9.759,24.555999999999997,1.295,33.376,11.17,21.732,32.327,1.579,1,0,0,1,0,0
2.0625,35.269,31.595,11.675,21.863000000000003,1.295,33.376,11.171,21.728,32.327,1.579,1,0,0,1,0,0
2.06640625,35.592,31.551,12.296,19.169,1.295,33.376,11.172,21.723000000000003,32.327,1.579,1,0,0,1,0,0
2.0703125,35.933,31.506999999999998,12.4,16.942,1.295,33.376,11.173,21.719,32.327,1.579,1,0,0,1,0,0
2.07421875,36.29,31.464000000000002,11.985999999999999,16.269000000000002,1.295,33.376,11.174000000000001,21.715,32.327,1.579,1,0,0,1,0,0
2.078125,36.658,31.421,11.727,17.253,1.295,33.376,11.174000000000001,21.711,32.327,1.579,1,0,0,1,0,0
2.08203125,37.032,31.378,11.675,19.791,1.295,33.376,11.175,21.706999999999997,32.327,1.579,1,0,0,1,0,0
2.0859375,37.408,31.336,11.209000000000001,20.412,1.295,33.376,11.175999999999998,21.703000000000003,32.327,1.578,1,0,0,1,0,0
2.08984375,37.781,31.293000000000003,10.535,19.894000000000002,1.295,33.376,11.175999999999998,21.7,32.327,1.578,1,0,0,1,0,0
2.09375,38.147,31.250999999999998,9.759,19.221,1.295,33.376,11.177,21.695999999999998,32.327,1.578,1,0,0,1,0,0
2.09765625,38.501,31.208000000000002,8.878,18.03,1.294,33.376,11.177,21.691999999999997,32.327,1.579,1,0,0,1,0,0
2.1015625,38.84,31.166999999999998,8.05,17.201,1.294,33.376,11.177999999999999,21.689,32.327,1.579,1,0,0,1,0,0
