time	player	move
3	2	lines(18)
3	1	lines(18)
5	1	lines(18)
5	2	lines(17)
6	2	lines(17)
7	1	lines(17)
8	2	lines(18)
9	1	lines(17)
11	2	lines(15)
12	1	lines(16)
13	2	lines(16)
13	2	drop(1)
14	2	lines(16)
15	1	lines(16)
15	1	drop(1)
16	2	lines(17)
17	1	lines(16)
17	1	drop(1)
19	2	lines(14)
20	1	lines(15)
21	2	lines(15)
23	2	lines(16)
23	2	drop(1)
23	1	lines(17)
26	2	lines(16)
26	1	lines(16)
28	1	lines(16)
28	2	lines(14)
30	2	lines(14)
31	1	lines(13)
32	2	lines(16)
34	1	lines(14)
35	2	lines(15)
35	2	drop(1)
36	1	lines(13)
37	2	lines(12)
38	2	lines(14)
39	1	lines(17)
40	2	lines(14)
41	2	lines(14)
41	2	drop(2)
41	2	send(2)
42	1	lines(12)
43	2	lines(16)
43	2	drop(1)
44	1	lines(9)
44	2	lines(15)
45	2	lines(14)
46	2	lines(14)
46	1	lines(12)
48	2	lines(12)
48	1	lines(9)
49	1	lines(8)
51	2	lines(15)
51	1	lines(8)
52	2	lines(13)
53	1	lines(7)
53	2	lines(12)
55	1	lines(9)
56	2	lines(13)
56	1	lines(5)
57	1	lines(3)
57	2	lines(11)
58	1	lines(1)
59	2	lines(11)
59	1	lines(7)
60	1	lines(4)
60	2	lines(10)
61	1	lines(0)
62	1	lines(2)
62	1	lines(-2)
62	1	end
