time	player	move
2	2	lines(18)
2	1	lines(18)
3	2	lines(17)
4	1	lines(16)
4	2	lines(17)
5	1	lines(17)
5	2	lines(16)
5	2	drop(1)
6	2	lines(17)
7	1	lines(15)
8	2	lines(17)
10	2	lines(16)
10	2	drop(1)
10	1	lines(13)
12	2	lines(17)
13	1	lines(16)
14	2	lines(17)
15	2	lines(16)
16	1	lines(16)
17	2	lines(14)
19	2	lines(16)
19	2	drop(1)
19	1	lines(13)
20	2	lines(17)
20	2	drop(1)
21	2	lines(17)
21	2	drop(1)
22	1	lines(16)
23	2	lines(17)
24	1	lines(9)
25	2	lines(17)
26	2	lines(15)
27	1	lines(12)
28	2	lines(16)
28	2	drop(1)
29	2	lines(17)
29	1	lines(14)
31	2	lines(16)
32	1	lines(12)
33	2	lines(17)
33	2	drop(1)
34	1	lines(10)
35	2	lines(15)
36	1	lines(13)
37	2	lines(15)
38	2	lines(14)
38	1	lines(9)
40	2	lines(17)
42	1	lines(16)
42	2	lines(14)
44	1	lines(9)
45	2	lines(16)
45	2	drop(1)
46	1	lines(8)
47	2	lines(15)
47	2	drop(1)
47	1	lines(6)
49	2	lines(16)
49	1	lines(13)
50	1	lines(4)
51	2	lines(15)
52	1	lines(5)
53	2	lines(12)
53	1	lines(6)
54	1	lines(4)
55	2	lines(15)
56	1	lines(3)
56	1	lines(2)
57	1	lines(-1)
57	2	lines(15)
57	2	drop(1)
57	2	level(3)
57	1	lines(0)
58	1	lines(3)
59	1	lines(0)
59	2	lines(13)
59	1	lines(-1)
59	1	lines(-3)
59	1	end
