2014.06.11 10:41:09;START
2014.06.11 10:41:10;1;lines(17) 
2014.06.11 10:41:11;2;lines(16) 
2014.06.11 10:41:12;1;lines(18) 
2014.06.11 10:41:13;1;lines(17) 
2014.06.11 10:41:14;2;lines(17) 
2014.06.11 10:41:15;1;lines(16) 
2014.06.11 10:41:16;2;lines(16) 
2014.06.11 10:41:17;1;lines(17) 
2014.06.11 10:41:18;1;lines(16) 
2014.06.11 10:41:19;2;lines(17) 
2014.06.11 10:41:21;1;lines(15) 
2014.06.11 10:41:22;2;lines(17) 
2014.06.11 10:41:23;1;lines(15) 
2014.06.11 10:41:23;1;drop(1) 
2014.06.11 10:41:25;2;lines(15) 
2014.06.11 10:41:26;1;lines(15) 
2014.06.11 10:41:28;2;lines(15) 
2014.06.11 10:41:29;1;lines(16) 
2014.06.11 10:41:31;1;lines(15) 
2014.06.11 10:41:31;1;drop(1) 
2014.06.11 10:41:31;2;lines(14) 
2014.06.11 10:41:33;1;lines(15) 
2014.06.11 10:41:34;2;lines(14) 
2014.06.11 10:41:35;1;lines(16) 
2014.06.11 10:41:35;1;drop(1) 
2014.06.11 10:41:37;1;lines(16) 
2014.06.11 10:41:37;1;drop(1) 
2014.06.11 10:41:37;2;lines(14) 
2014.06.11 10:41:39;1;lines(17) 
2014.06.11 10:41:39;1;drop(1) 
2014.06.11 10:41:40;2;lines(12) 
2014.06.11 10:41:41;1;lines(16) 
2014.06.11 10:41:43;2;lines(14) 
2014.06.11 10:41:44;1;lines(16) 
2014.06.11 10:41:45;2;lines(12) 
2014.06.11 10:41:46;1;lines(16) 
2014.06.11 10:41:48;2;lines(13) 
2014.06.11 10:41:48;1;lines(17) 
2014.06.11 10:41:50;1;lines(15) 
2014.06.11 10:41:50;2;lines(12) 
2014.06.11 10:41:50;2;drop(1) 
2014.06.11 10:41:53;1;lines(15) 
2014.06.11 10:41:53;1;drop(1) 
2014.06.11 10:41:53;2;lines(11) 
2014.06.11 10:41:56;2;lines(12) 
2014.06.11 10:41:56;1;lines(15) 
2014.06.11 10:41:57;2;lines(7) 
2014.06.11 10:41:58;1;lines(14) 
2014.06.11 10:42:00;2;lines(12) 
2014.06.11 10:42:01;1;lines(15) 
2014.06.11 10:42:02;2;lines(11) 
2014.06.11 10:42:03;1;lines(14) 
2014.06.11 10:42:03;1;drop(1) 
2014.06.11 10:42:04;2;lines(9) 
2014.06.11 10:42:05;1;lines(15) 
2014.06.11 10:42:07;2;lines(12) 
2014.06.11 10:42:07;1;lines(13) 
2014.06.11 10:42:09;2;lines(8) 
2014.06.11 10:42:10;1;lines(15) 
2014.06.11 10:42:10;1;drop(1) 
2014.06.11 10:42:11;2;lines(7) 
2014.06.11 10:42:12;2;lines(4) 
2014.06.11 10:42:12;1;lines(15) 
2014.06.11 10:42:12;1;drop(1) 
2014.06.11 10:42:14;2;lines(8) 
2014.06.11 10:42:15;1;lines(14) 
2014.06.11 10:42:15;2;lines(5) 
2014.06.11 10:42:17;2;lines(6) 
2014.06.11 10:42:17;1;lines(15) 
2014.06.11 10:42:18;2;lines(4) 
2014.06.11 10:42:19;2;lines(2) 
2014.06.11 10:42:19;1;lines(15) 
2014.06.11 10:42:19;1;drop(1) 
2014.06.11 10:42:19;1;level(3) 
2014.06.11 10:42:20;2;lines(4) 
2014.06.11 10:42:20;2;lines(0) 
2014.06.11 10:42:21;1;lines(14) 
2014.06.11 10:42:21;2;lines(3) 
2014.06.11 10:42:22;2;lines(-2) 
2014.06.11 10:42:22;2;end
