2014.06.11 10:46:22;START
2014.06.11 10:46:24;1;lines(17) 
2014.06.11 10:46:26;1;lines(17) 
2014.06.11 10:46:26;2;lines(16) 
2014.06.11 10:46:27;1;lines(17) 
2014.06.11 10:46:27;1;drop(1) 
2014.06.11 10:46:29;1;lines(18) 
2014.06.11 10:46:29;2;lines(16) 
2014.06.11 10:46:30;1;lines(16) 
2014.06.11 10:46:32;1;lines(18) 
2014.06.11 10:46:33;2;lines(16) 
2014.06.11 10:46:34;1;lines(16) 
2014.06.11 10:46:35;1;lines(16) 
2014.06.11 10:46:36;2;lines(17) 
2014.06.11 10:46:37;1;lines(16) 
2014.06.11 10:46:39;2;lines(13) 
2014.06.11 10:46:39;1;lines(15) 
2014.06.11 10:46:40;1;lines(16) 
2014.06.11 10:46:40;1;drop(1) 
2014.06.11 10:46:41;2;lines(17) 
2014.06.11 10:46:42;1;lines(15) 
2014.06.11 10:46:43;1;lines(14) 
2014.06.11 10:46:44;1;lines(14) 
2014.06.11 10:46:45;2;lines(15) 
2014.06.11 10:46:46;1;lines(13) 
2014.06.11 10:46:47;2;lines(14) 
2014.06.11 10:46:48;1;lines(14) 
2014.06.11 10:46:50;1;lines(11) 
2014.06.11 10:46:50;2;lines(13) 
2014.06.11 10:46:51;1;lines(12) 
2014.06.11 10:46:52;1;lines(16) 
2014.06.11 10:46:52;1;drop(3) 
2014.06.11 10:46:52;1;send(3) 
2014.06.11 10:46:52;2;lines(9) 
2014.06.11 10:46:53;1;lines(17) 
2014.06.11 10:46:53;1;drop(1) 
2014.06.11 10:46:54;2;lines(9) 
2014.06.11 10:46:55;1;lines(13) 
2014.06.11 10:46:56;1;lines(16) 
2014.06.11 10:46:56;1;drop(1) 
2014.06.11 10:46:56;2;lines(9) 
2014.06.11 10:46:58;2;lines(6) 
2014.06.11 10:46:58;1;lines(17) 
2014.06.11 10:46:59;1;lines(14) 
2014.06.11 10:47:00;2;lines(8) 
2014.06.11 10:47:02;2;lines(7) 
2014.06.11 10:47:02;1;lines(16) 
2014.06.11 10:47:03;1;lines(17) 
2014.06.11 10:47:03;1;drop(2) 
2014.06.11 10:47:03;1;send(2) 
2014.06.11 10:47:03;2;lines(5) 
2014.06.11 10:47:04;1;lines(16) 
2014.06.11 10:47:04;2;lines(3) 
2014.06.11 10:47:05;2;lines(2) 
2014.06.11 10:47:06;1;lines(18) 
2014.06.11 10:47:06;2;lines(1) 
2014.06.11 10:47:06;2;lines(-1) 
2014.06.11 10:47:06;2;lines(-3) 
2014.06.11 10:47:06;2;end
